,ind,max_valorX,max_valorY,max_valorZ,media,formula,Ehull,HF,Gap,Energy,natoms,nspecies,thickness,uc_area,average_atomic_number,average_valence_number,average_electronegativity
2155,2273,0.6825000000001182,0.6625000000001364,5.5900000000001455,2.3116666666668,Zn2S2O8H4,0.039,-1.219,4.521,-84.327,16,4,3.811,27.103,10.0,5.5,2.79875
2156,2274,9.74499999999989,9.552500000000009,9.552500000000009,9.616666666666637,Zn2Se2O8H4,0.006,-1.097,4.452,-81.172,16,4,3.922,28.048,12.25,6.75,2.795
2157,2275,1.6825000000000045,1.6825000000000045,1.6825000000000045,1.6825000000000045,TlI2,0.182,-0.274,0.0,-6.277,3,2,4.183,16.523,62.333333333333336,15.666666666666666,2.4533333333333336
2158,2276,9.605000000000018,9.345000000000027,9.470000000000027,9.473333333333358,Te2Zn2O8H4,0.029,-1.173,3.933,-81.836,16,4,4.22,28.787,14.5,6.75,2.7387499999999996
2159,2277,0.27750000000003183,0.27750000000003183,0.27750000000003183,0.27750000000003183,Te2Zn2N4H8,0.131,-0.233,1.822,-72.513,16,4,8.297,28.943,12.5,5.25,2.3287500000000003
2160,2278,61.9,61.9,61.9,61.9,Hf4IBrS4Cl2,0.0,-1.528,0.0,-71.307,12,5,5.688,36.947,39.5,7.333333333333333,2.2883333333333336
2161,2279,1.5050000000001091,1.5050000000001091,1.5050000000001091,1.5050000000001091,Ir2RhGaBr4S4,0.058,-0.532,0.337,-57.637,12,5,5.709,34.163,36.166666666666664,11.0,2.5541666666666667
2162,2280,0.6825000000000045,0.6825000000000045,0.6825000000000045,0.6825000000000045,VBr2,0.0,-0.863,1.252,-14.283,3,2,2.897,12.773,31.0,13.0,2.5166666666666666
2163,2281,61.9,61.9,61.9,61.9,HfZrPd2I4S4,0.063,-0.86,0.951,-55.094,12,5,5.989,43.832,40.0,10.0,2.3325
2164,2282,0.9175000000000182,0.9175000000000182,0.9175000000000182,0.9175000000000182,VCl2,0.0,-1.174,1.354,-15.615,3,2,2.662,11.6,19.0,6.333333333333333,2.65
2165,2283,1.0775000000001,1.0775000000001,1.0775000000001,1.0775000000001,ITi4PS5Cl2,0.064,-1.215,0.0,-73.356,13,5,5.501,41.229,20.76923076923077,6.3076923076923075,2.3253846153846154
2166,2284,0.48500000000001364,0.48500000000001364,0.45999999999997954,0.47666666666666896,I2V,0.0,-0.49,1.202,-12.952,3,2,3.135,14.743,43.0,13.0,2.316666666666667
2167,2285,1.5849999999999795,1.5849999999999795,1.5849999999999795,1.5849999999999795,VO2,0.138,-2.184,0.0,-25.323,3,2,1.828,9.682,13.0,5.666666666666667,2.8366666666666664
2168,2286,5.61749999999995,5.61749999999995,5.61749999999995,5.61749999999995,PtMn2SeS5,0.032,-0.481,0.525,-53.991,9,4,2.761,30.857,26.88888888888889,7.777777777777778,2.3144444444444443
2169,2287,0.17500000000001137,0.2750000000000341,0.23750000000001137,0.22916666666668561,VS2,0.0,-0.879,0.028,-19.318,3,2,2.988,8.792,18.333333333333332,5.666666666666667,2.263333333333333
